Date, Close/Last, Volume, Open, High, Low
04/26/2017, 359, 172059, 359, 367.25, 358.25
04/25/2017, 365, 156080, 363, 368.25, 356.25
04/24/2017, 359.25, 124732, 359.25, 360.5, 356.25
04/21/2017, 357, 159992, 357, 358.75, 354.25
04/20/2017, 357.75, 149584, 357.25, 363.75, 357.25
04/19/2017, 361.75, 164525, 361.25, 365.25, 360.5
04/18/2017, 361.75, 172137, 361, 368, 360.75
04/17/2017, 366.5, 125614, 366.75, 372, 365.5
04/13/2017, 371, 235728, 370.75, 373, 368.5
04/12/2017, 369, 202294, 368.75, 371.5, 366.25
04/11/2017, 366.5, 227008, 366.5, 369, 362.25
04/10/2017, 367, 191561, 365, 367, 359
04/07/2017, 359.5, 199932, 360, 361.75, 357.25
04/06/2017, 360.75, 115559, 360.25, 365.5, 360
04/05/2017, 364.75, 124454, 364.25, 365.75, 361.5
04/04/2017, 363, 140591, 363, 369.75, 362.75
04/03/2017, 367.75, 211917, 367, 371.75, 365.5
03/31/2017, 364.25, 285282, 364, 366.75, 355
03/30/2017, 357.5, 89553, 357.5, 358.75, 356.75
03/29/2017, 358.5, 125610, 358, 360.75, 356.5
03/28/2017, 357.75, 105630, 356.75, 358.75, 355.75
03/27/2017, 355.75, 131405, 355.75, 358.25, 354.25
03/24/2017, 356.25, 101102, 356.25, 358, 355.25
03/23/2017, 356.75, 115146, 357, 359.75, 356.25
03/22/2017, 358.75, 125392, 358.25, 361.75, 358.25
03/21/2017, 361.25, 143182, 361, 364, 359.25
03/20/2017, 363.5, 134208, 363.25, 370.75, 363
03/17/2017, 367.5, 82555, 367.25, 367.75, 364.5
03/16/2017, 366, 102119, 366, 367, 363.5
03/15/2017, 363.5, 97601, 363.5, 364.75, 362
03/14/2017, 353.75, 518, 354, 358.25, 353
03/13/2017, 354.5, 1637, 356.5, 358.75, 353.5
03/10/2017, 358, 1739, 359, 360.25, 356
03/09/2017, 359.75, 1999, 365, 366.5, 359.25
03/08/2017, 365.25, 7048, 368.25, 370.25, 365
03/07/2017, 369.5, 4250, 373, 373.25, 367.5
03/06/2017, 372.75, 3515, 376, 377, 371
03/03/2017, 374.75, 3778, 374.25, 375.5, 371.25
03/02/2017, 372.75, 10551, 372.75, 375.75, 370.5
03/01/2017, 375.75, 10739, 369.25, 376, 365.75
02/28/2017, 366.75, 39898, 367, 378.75, 361.25
02/27/2017, 360.25, 208153, 360.25, 365.5, 359.5
02/24/2017, 364, 181299, 365, 366.75, 362.5
02/23/2017, 365.5, 151685, 366, 371.75, 365.25
02/22/2017, 371, 118896, 370.75, 372.75, 369.25
02/21/2017, 369.25, 160749, 369.25, 370.75, 366.5
02/17/2017, 368.25, 176898, 368.5, 373.25, 368
02/16/2017, 368.25, 176898, 368.75, 373.25, 368
02/15/2017, 373.5, 187980, 373.5, 380, 373
02/14/2017, 378.75, 206588, 378, 379, 371.75
02/13/2017, 374.25, 162429, 374, 375.25, 373
02/12/2017, 375.5, 216838, 375, 376.75, 371.75
02/10/2017, 374.5, 233920, 374, 375.5, 368.5
02/09/2017, 369.5, 278720, 368.5, 372.75, 367.5
02/08/2017, 370.75, 187851, 369.75, 371, 366.5
02/07/2017, 368.5, 173207, 368.25, 369, 362.5
02/06/2017, 363.75, 109510, 363.75, 368.75, 362.5
02/03/2017, 365.25, 115702, 365.25, 367.75, 364
02/02/2017, 367.5, 144008, 367, 369.75, 366.25
02/01/2017, 368.25, 221378, 367.25, 368.5, 358
01/31/2017, 359.75, 127131, 359.5, 361.25, 357.75
01/30/2017, 357.75, 162181, 358, 361.75, 355.75
01/27/2017, 362.5, 114628, 362.75, 364.25, 360.5
01/26/2017, 363.75, 101483, 363, 366.75, 362
01/25/2017, 366.25, 130743, 365.75, 366.75, 361
01/24/2017, 363.25, 181890, 363, 371, 362.25
01/23/2017, 369.5, 129800, 369.5, 370, 367.5
01/20/2017, 369.75, 189008, 369, 370, 365
01/19/2017, 366.25, 156137, 366, 367.5, 362.75
01/18/2017, 365, 194790, 364.25, 367.75, 362.75
01/17/2017, 365.5, 299063, 364.5, 366.5, 358.5
01/13/2017, 358.5, 153287, 358, 359.5, 355.25
01/12/2017, 358.25, 244933, 358, 360, 353
01/11/2017, 357.25, 191240, 357, 358.25, 352
01/10/2017, 358.25, 115352, 357.75, 359.5, 357.25
01/09/2017, 360, 164200, 359.5, 360.75, 355.25
01/06/2017, 358, 150425, 358, 362.5, 356.75
01/05/2017, 361.25, 178734, 361, 362.75, 358.5
01/04/2017, 359.75, 155129, 359.5, 360, 354.75
